,movie,year,imdb,metascore,votes
1,Logan,2017,8.1,77,827K
2,Thor: Ragnarok,2017,7.9,74,813K
3,Guardians of the Galaxy Vol. 2,2017,7.6,67,756K
4,Dunkirk,2017,7.8,94,736K
5,Spider-Man: Homecoming,2017,7.4,73,716K
6,Wonder Woman,2017,7.3,76,698K
7,Get Out,2017,7.8,85,691K
8,Star Wars: Episode VIII - The Last Jedi,2017,6.9,84,670K
9,Blade Runner 2049,2017,8.0,81,658K
10, Baby Driver,2017,7.5,86,605K
11, It,2017,7.3,69,603K
12, Coco,2017,8.4,81,586K
13," Three Billboards Outside Ebbing, Missouri",2017,8.1,88,553K
14, John Wick: Chapter 2,2017,7.4,75,509K
15, Justice League,2017,6.1,45,477K
16, The Shape of Water,2017,7.3,87,446K
17, Jumanji: Welcome to the Jungle,2017,6.9,58,436K
18, Kingsman: The Golden Circle,2017,6.7,44,361K
19, Kong: Skull Island,2017,6.7,62,345K
20, Pirates of the Caribbean: Salazar's Revenge,2017,6.5,39,344K
21, Beauty and the Beast,2017,7.1,65,333K
22, Lady Bird,2017,7.4,93,326K
23, Call Me by Your Name,2017,7.8,94,313K
24, The Greatest Showman,2017,7.5,48,310K
25, Alien: Covenant,2017,6.4,65,302K
26, Murder on the Orient Express,2017,6.5,52,295K
27, War for the Planet of the Apes,2017,7.4,82,280K
28, Wind River,2017,7.7,73,279K
29, Fast & Furious 8,2017,6.6,56,253K
30, Life,2017,6.6,54,252K
31, Mother!,2017,6.6,76,249K
32, The Hitman's Bodyguard,2017,6.9,47,246K
33," I, Tonya",2017,7.5,77,242K
34, King Arthur: Legend of the Sword,2017,6.7,41,232K
35, Ghost in the Shell,2017,6.3,52,227K
36, Darkest Hour,2017,7.4,75,220K
37, American Made,2017,7.1,65,207K
38, Atomic Blonde,2017,6.7,63,206K
39, The Mummy,2017,5.4,34,206K
40, Baywatch,2017,5.5,37,201K
41, Bright,2017,6.3,29,201K
42,Logan,2017,8.1,77,827K
43,Thor: Ragnarok,2017,7.9,74,813K
44,Guardians of the Galaxy Vol. 2,2017,7.6,67,756K
45,Dunkirk,2017,7.8,94,736K
46,Spider-Man: Homecoming,2017,7.4,73,716K
47,Wonder Woman,2017,7.3,76,698K
48,Get Out,2017,7.8,85,691K
49,Star Wars: Episode VIII - The Last Jedi,2017,6.9,84,670K
50,Blade Runner 2049,2017,8.0,81,658K
51, Baby Driver,2017,7.5,86,605K
52, It,2017,7.3,69,603K
53, Coco,2017,8.4,81,586K
54," Three Billboards Outside Ebbing, Missouri",2017,8.1,88,553K
55, John Wick: Chapter 2,2017,7.4,75,509K
56, Justice League,2017,6.1,45,477K
57, The Shape of Water,2017,7.3,87,446K
58, Jumanji: Welcome to the Jungle,2017,6.9,58,436K
59, Kingsman: The Golden Circle,2017,6.7,44,361K
60, Kong: Skull Island,2017,6.7,62,345K
61, Pirates of the Caribbean: Salazar's Revenge,2017,6.5,39,344K
62, Beauty and the Beast,2017,7.1,65,333K
63, Lady Bird,2017,7.4,93,326K
64, Call Me by Your Name,2017,7.8,94,313K
65, The Greatest Showman,2017,7.5,48,310K
66, Alien: Covenant,2017,6.4,65,302K
67, Murder on the Orient Express,2017,6.5,52,295K
68, War for the Planet of the Apes,2017,7.4,82,280K
69, Wind River,2017,7.7,73,279K
70, Fast & Furious 8,2017,6.6,56,253K
71, Life,2017,6.6,54,252K
72, Mother!,2017,6.6,76,249K
73, The Hitman's Bodyguard,2017,6.9,47,246K
74," I, Tonya",2017,7.5,77,242K
75, King Arthur: Legend of the Sword,2017,6.7,41,232K
76, Ghost in the Shell,2017,6.3,52,227K
77, Darkest Hour,2017,7.4,75,220K
78, American Made,2017,7.1,65,207K
79, Atomic Blonde,2017,6.7,63,206K
80, The Mummy,2017,5.4,34,206K
81, Baywatch,2017,5.5,37,201K
82, Bright,2017,6.3,29,201K
83,Logan,2017,8.1,77,827K
84,Thor: Ragnarok,2017,7.9,74,813K
85,Guardians of the Galaxy Vol. 2,2017,7.6,67,756K
86,Dunkirk,2017,7.8,94,736K
87,Spider-Man: Homecoming,2017,7.4,73,716K
88,Wonder Woman,2017,7.3,76,698K
89,Get Out,2017,7.8,85,691K
90,Star Wars: Episode VIII - The Last Jedi,2017,6.9,84,670K
91,Blade Runner 2049,2017,8.0,81,658K
92, Baby Driver,2017,7.5,86,605K
93, It,2017,7.3,69,603K
94, Coco,2017,8.4,81,586K
95," Three Billboards Outside Ebbing, Missouri",2017,8.1,88,553K
96, John Wick: Chapter 2,2017,7.4,75,509K
97, Justice League,2017,6.1,45,477K
98, The Shape of Water,2017,7.3,87,446K
99, Jumanji: Welcome to the Jungle,2017,6.9,58,436K
100, Kingsman: The Golden Circle,2017,6.7,44,361K
101, Kong: Skull Island,2017,6.7,62,345K
102, Pirates of the Caribbean: Salazar's Revenge,2017,6.5,39,344K
103, Beauty and the Beast,2017,7.1,65,333K
104, Lady Bird,2017,7.4,93,326K
105, Call Me by Your Name,2017,7.8,94,313K
106, The Greatest Showman,2017,7.5,48,310K
107, Alien: Covenant,2017,6.4,65,302K
108, Murder on the Orient Express,2017,6.5,52,295K
